ds,y
2024-04-12 12:25:13.700374,214
2024-04-12 12:29:23.700374,155
2024-04-12 12:33:33.700374,194
2024-04-12 12:37:43.700374,182
2024-04-12 12:41:53.700374,199
2024-04-12 12:46:03.700374,209
2024-04-12 12:50:13.700374,166
2024-04-12 12:54:23.700374,172
2024-04-12 12:58:33.700374,189
2024-04-12 13:02:43.700374,173
2024-04-12 13:06:53.700374,175
2024-04-12 13:11:03.700374,189
2024-04-12 13:15:13.700374,162
2024-04-12 13:19:23.700374,173
2024-04-12 13:23:33.700374,192
2024-04-12 13:27:43.700374,185
2024-04-12 13:31:53.700374,216
2024-04-12 13:36:03.700374,189
2024-04-12 13:40:13.700374,189
2024-04-12 13:44:23.700374,204
2024-04-12 13:48:33.700374,190
2024-04-12 13:52:43.700374,186
2024-04-12 13:56:53.700374,214
2024-04-12 14:01:03.700374,192
2024-04-12 14:05:13.700374,204
2024-04-12 14:09:23.700374,176
2024-04-12 14:13:33.700374,212
2024-04-12 14:17:43.700374,184
2024-04-12 14:21:53.700374,200
2024-04-12 14:26:03.700374,180
2024-04-12 14:30:13.700374,204
2024-04-12 14:34:23.700374,211
2024-04-12 14:38:33.700374,184
2024-04-12 14:42:43.700374,200
2024-04-12 14:46:53.700374,186
2024-04-12 14:51:03.700374,217
2024-04-12 14:55:13.700374,192
2024-04-12 14:59:23.700374,198
2024-04-12 15:03:33.700374,217
2024-04-12 15:07:43.700374,197
2024-04-12 15:11:53.700374,169
2024-04-12 15:16:03.700374,199
2024-04-12 15:20:13.700374,179
2024-04-12 15:24:23.700374,188
2024-04-12 15:28:33.700374,217
2024-04-12 15:32:43.700374,202
2024-04-12 15:36:53.700374,194
2024-04-12 15:41:03.700374,205
2024-04-12 15:45:13.700374,192
2024-04-12 15:49:23.700374,191
2024-04-12 15:53:33.700374,212
2024-04-12 15:57:43.700374,197
2024-04-12 16:01:53.700374,187
2024-04-12 16:06:03.700374,188
2024-04-12 16:10:13.700374,192
2024-04-12 16:14:23.700374,189
2024-04-12 16:18:33.700374,168
2024-04-12 16:22:43.700374,176
2024-04-12 16:26:53.700374,181
2024-04-12 16:31:03.700374,172
2024-04-12 16:35:13.700374,167
2024-04-12 16:39:23.700374,184
2024-04-12 16:43:33.700374,181
2024-04-12 16:47:43.700374,178
2024-04-12 16:51:53.700374,243
